"X2001_hop_L_01.c3d.11","X2002_hop_L_01.c3d.11","X2004_hop_L_01.c3d.11","X2005_hop_L_01.c3d.11","X2006_hop_L_01.c3d.11","X2007_hop_L_01.c3d.11","X2008_hop_L_01.c3d.11","X2009_hop_L_01.c3d.11","X2010_hop_L_01.c3d.11","X2011_hop_L_01.c3d.11","X2012_hop_L_01.c3d.11","X2013_hop_L_01.c3d.11","X2014_hop_L_01.c3d.11","X2015_hop_L_01.c3d.11","X2016_hop_L_01.c3d.11","X2017_hop_L_01.c3d.11","X2018_hop_L_01.c3d.11","X2019_hop_L_01.c3d.11","X2020_hop_L_01.c3d.11","X2021_hop_L_01.c3d.11","X2022_hop_L_01.c3d.11","X2023_hop_L_01.c3d.11","X2024_hop_L_01.c3d.11","X2025_hop_L_01.c3d.11","X2026_hop_L_01.c3d.11","X2027_hop_R_01.c3d.11","X2028_hop_L_01.c3d.11","X2029_hop_L_01.c3d.11","X2030_hop_L_01.c3d.11","X2031_hop_L_01.c3d.11","X2032_hop_L_01.c3d.11","X2034_hop_L_01.c3d.11"
14.728765,30.116669,19.792913,10.247237,16.779921,10.498694,5.227117,23.432236,9.030615,25.253208,18.610828,14.529148,30.400188,18.086674,21.190285,17.847876,17.112858,12.945095,15.023462,23.399614,58.933575,18.082209,16.908085,10.968658,31.497484,28.27854,19.063093,13.695354,18.079632,9.634286,16.616976,23.824947
15.216442,30.178858,19.972996,10.51265,17.017567,10.756629,5.240613,23.348948,8.712905,25.270378,18.70466,14.663739,30.725603,17.744049,21.011072,17.741142,17.051664,12.911858,15.5354,23.362083,59.092087,18.188251,17.069248,11.440419,31.644712,30.22521,19.336496,14.067522,18.065126,9.728252,16.651699,23.530521
15.864341,30.260229,20.144135,10.835241,17.23399,11.035509,5.240695,23.284437,8.454581,25.326809,18.820847,14.815004,31.096193,17.388325,20.887781,17.631718,16.997074,12.861078,16.111561,23.291029,59.275677,18.343246,17.274538,11.965743,31.850811,31.497524,19.679121,14.443619,18.055147,9.772544,16.68322,23.184652
16.660585,30.351753,20.312101,11.203012,17.398571,11.316031,5.224558,23.261925,8.326636,25.416845,18.954245,14.978847,31.518677,17.060579,20.842524,17.523554,16.955593,12.794292,16.703199,23.209364,59.447071,18.558846,17.5273,12.505572,32.10183,32.218067,20.063824,14.793706,18.06028,9.778598,16.697855,22.782217
17.519859,30.432945,20.473366,11.578114,17.509012,11.582723,5.188713,23.285704,8.354256,25.512646,19.08523,15.142547,32.001602,16.79026,20.857742,17.41993,16.925022,12.716038,17.256947,23.158421,59.56852,18.816002,17.81542,13.039382,32.358864,32.740974,20.446712,15.100643,18.095757,9.78303,16.687901,22.319017
18.350304,30.484182,20.551645,11.919456,17.592741,11.828129,5.133512,23.341656,8.538436,25.600592,19.190876,15.286538,32.541191,16.58461,20.910769,17.325241,16.910889,12.62567,17.746164,23.154192,59.622448,19.069456,18.120113,13.590139,32.586842,33.259686,20.804289,15.357611,18.171101,9.78454,16.658165,21.78826
19.1231,30.496376,20.249857,12.199283,17.689388,12.039615,5.069286,23.412373,8.865052,25.696564,19.259569,15.394404,33.116993,16.428833,20.984003,17.24696,16.937412,12.519922,18.181271,23.187767,59.617798,19.271322,18.427708,14.206569,32.774868,33.848911,21.137787,15.562675,18.278166,9.60116,16.621145,21.183084
19.868011,30.475956,19.574154,12.399367,17.821987,12.202831,5.016016,23.491209,9.315763,25.825487,19.296547,15.469044,33.701786,16.30658,21.060211,17.196581,17.042238,12.401237,18.589941,23.235657,59.582928,19.397182,18.734873,14.930538,32.935215,34.533455,21.464354,15.719357,18.392635,9.186011,16.584871,20.502981
20.623566,30.440065,19.241053,12.508896,17.993311,12.316776,4.988829,23.582855,9.874166,25.998543,19.322666,15.537334,34.275291,16.215694,21.124653,17.186298,17.251429,12.280735,18.988981,23.268349,59.536102,19.457466,19.040466,15.775046,33.082893,35.315567,21.807878,15.841549,18.485041,8.992779,16.544609,19.753654
21.397444,30.40451,19.066301,12.534501,18.197266,12.393342,4.986153,23.692537,10.504995,26.217487,19.367966,15.634346,34.835567,16.161951,21.171835,17.22418,17.559196,12.167293,19.388292,23.265388,59.465244,19.491348,19.338701,16.719875,33.22578,36.185223,22.185825,15.954907,18.535799,8.903696,16.49226,18.951565
22.169279,30.377785,18.905645,12.502035,18.419838,12.446553,5.010806,23.818447,11.136218,26.484234,19.452633,15.781447,35.394318,16.154915,21.204638,17.309309,17.931444,12.053743,19.802467,23.226202,59.352409,19.549202,19.626394,17.72097,33.368481,37.120373,22.590668,16.086857,18.54225,8.811063,16.434587,18.128635
22.920555,30.363609,18.793549,12.448522,18.642054,12.484332,5.089502,23.955269,11.695844,26.801908,19.573587,15.97831,35.956539,16.203024,21.229904,17.428812,18.325575,11.921413,20.238577,23.174334,59.196564,19.67305,19.912844,18.729586,33.514133,38.083645,22.977291,16.251629,18.514118,8.725105,16.388199,17.318548
23.636082,30.365011,18.763828,12.410419,18.853033,12.509965,5.251287,24.103586,12.164693,27.167255,19.718061,16.208969,36.513508,16.294996,21.251905,17.559797,18.726475,11.755187,20.693752,23.158613,59.006454,19.887671,20.218689,19.712492,33.661816,39.032761,23.295858,16.448057,18.463455,8.654548,16.355434,16.544071
24.295469,30.384541,18.818396,12.422133,19.048569,12.531075,5.50842,24.268723,12.581624,27.576082,19.876753,16.454691,37.053059,16.393274,21.271971,17.679358,19.167498,11.556692,21.176361,23.238958,58.799671,20.198492,20.570099,20.668917,33.8055,39.943787,23.548952,16.669134,18.399414,8.595308,16.321142,15.821428
24.897223,30.419941,18.930271,12.511841,19.225086,12.56423,5.857696,24.45503,13.008474,28.030748,20.043663,16.711185,37.559696,16.46472,21.294598,17.777575,19.68387,11.343679,21.702156,23.447027,58.613087,20.594921,20.991695,21.635727,33.938335,40.819557,23.791733,16.908522,18.329098,8.543358,16.270754,15.174887
25.46954,30.461998,19.061993,12.68778,19.395067,12.630435,6.295107,24.671034,13.502595,28.533773,20.217358,16.989662,38.007217,16.513407,21.324776,17.86186,20.26613,11.133011,22.261,23.752377,58.491367,21.078564,21.500875,22.666872,34.061623,41.677105,24.08428,17.165989,18.255878,8.5006,16.199389,14.638806
26.041054,30.500013,19.183201,12.937979,19.590069,12.749521,6.82851,24.933462,14.115981,29.087374,20.399311,17.294292,38.380066,16.569847,21.360106,17.950275,20.886074,10.938837,22.819614,24.071098,58.462013,21.67794,22.10342,23.799469,34.196445,42.537792,24.447411,17.449823,18.177763,8.474119,16.111017,14.240478
26.613544,30.528811,19.28158,13.244675,19.826525,12.935824,7.461531,25.244499,14.88755,29.698233,20.589317,17.606367,38.69289,16.660564,21.395485,18.059067,21.536695,10.779558,23.351004,24.315039,58.529152,22.426289,22.779463,25.041893,34.383194,43.422523,24.853617,17.766201,18.090422,8.469461,16.01096,13.990135
27.175653,30.549587,19.360662,13.596284,20.079557,13.189999,8.184001,25.577961,15.83576,30.377733,20.790186,17.894508,38.984959,16.790319,21.435171,18.19565,22.233299,10.681942,23.842653,24.446295,58.674118,23.336143,23.484297,26.38586,34.66124,44.347855,25.250624,18.111074,17.989422,8.485889,15.90884,13.889235
27.730753,30.566109,19.437416,13.979202,20.318892,13.494426,8.992303,25.910572,16.966568,31.150509,21.009117,18.127485,39.298233,16.948929,21.491573,18.361721,22.98999,10.674688,24.303205,24.48147,58.867191,24.392916,24.178595,27.808449,35.051846,45.315441,25.594397,18.471819,17.868046,8.517711,15.829999,13.944593
28.283932,30.580322,19.567171,14.365352,20.536711,13.822356,9.900609,26.242725,18.272358,32.036552,21.24655,18.272074,39.652245,17.127527,21.574236,18.552883,23.804893,10.766529,24.762032,24.449121,59.084843,25.563446,24.853561,29.262108,35.549122,46.307255,25.872066,18.83469,17.723127,8.557958,15.805871,14.177837
28.830675,30.590448,19.772953,14.722019,20.725138,14.152949,10.928913,26.575077,19.724327,33.023357,21.496027,18.296488,40.040058,17.328758,21.681986,18.758471,24.662012,10.940207,25.244402,24.368584,59.319206,26.812016,25.532755,30.68305,36.119514,47.298126,26.102343,19.193825,17.56109,8.600904,15.852386,14.623992
29.365828,30.590258,19.775064,15.025382,20.897453,14.475921,12.099827,26.851103,21.287281,34.073597,21.753441,18.193537,40.445885,17.56443,21.805683,18.966713,25.546179,11.172507,25.751944,24.253954,59.573795,28.115879,26.245808,32.0238,36.723522,48.268387,26.316128,19.552061,17.390581,8.639459,15.96354,15.316916
29.891665,30.568132,19.751631,15.263703,21.125563,14.783384,13.437682,26.968224,22.945938,35.154835,22.015871,17.99404,40.860279,17.845779,21.939774,19.169947,26.447435,11.45279,26.26074,24.116486,59.849152,29.471897,27.004353,33.283806,37.33247,49.214706,26.533447,19.921484,17.221643,8.666875,16.111643,16.266554
30.41864,30.507082,19.763956,15.427966,21.490356,15.065438,14.947646,26.89049,24.701529,36.245922,22.280718,17.743067,41.276581,18.175331,22.088875,19.369219,27.353767,11.786014,26.739422,23.966015,60.135288,30.883747,27.8046,34.503834,37.934933,50.15929,26.754694,20.320461,17.076822,8.68621,16.25153,17.444645
30.950687,30.389385,19.727152,15.508593,22.00251,15.314563,16.607685,26.670177,26.535385,37.329269,22.553827,17.464212,41.684471,18.545555,22.261356,19.571854,28.249725,12.171593,27.176113,23.814104,60.418018,32.339859,28.644386,35.726418,38.535702,51.142223,26.96998,20.762348,16.989182,8.710706,16.338934,18.807844
31.481569,30.207537,19.622118,15.518099,22.606388,15.528318,18.371944,26.392088,28.387735,38.394566,22.851177,17.162317,42.073174,18.950825,22.46171,19.7801,29.119238,12.578608,27.579729,23.673496,60.690346,33.823109,29.528475,36.972542,39.145325,52.199989,27.174984,21.25042,16.982685,8.753526,16.355078,20.337351
32.00679,29.97414,19.476086,15.491414,23.24839,15.708804,20.189018,26.131195,30.204962,39.436565,23.18334,16.817694,42.433376,19.404314,22.687746,19.983538,29.960718,12.953217,27.967747,23.552666,60.953045,35.34248,30.450279,38.239594,39.776817,53.34922,27.378088,21.784393,17.063478,8.821182,16.323614,22.039341
32.53577,29.729893,19.406126,15.454044,23.920513,15.863962,22.041124,25.936516,31.984421,40.443592,23.540098,16.417454,42.753689,19.94932,22.937662,20.164654,30.801413,13.254441,28.366032,23.4531,61.209724,36.92572,31.389738,39.508305,40.436974,54.596107,27.60125,22.364126,17.217901,8.912536,16.300533,23.919514
33.083714,29.525249,19.490276,15.412177,24.661348,16.00445,23.942774,25.830963,33.75909,41.398537,23.894434,15.99796,43.031521,20.656393,23.214537,20.313528,31.669352,13.477908,28.804131,23.37146,61.465851,38.572277,32.32909,40.762962,41.109932,55.947727,27.879576,22.988018,17.41577,9.018625,16.339745,25.970022
33.650681,29.37921,19.581274,15.37326,25.516277,16.135994,25.909849,25.817778,35.564846,42.287563,24.219355,15.615376,43.284195,21.584253,23.522205,20.441519,32.552338,13.645406,29.29929,23.304632,61.719444,40.223728,33.258717,42.001598,41.773651,57.39941,28.256062,23.65799,17.623478,9.124513,16.456724,28.163633
34.217308,29.275906,19.77779,15.35228,26.50522,16.258493,27.930258,25.886354,37.421829,43.097099,24.497458,15.302602,43.538803,22.737841,23.862179,20.58127,33.406757,13.784654,29.855291,23.259018,61.950165,41.792427,34.177231,43.227928,42.413376,58.923485,28.765324,24.384031,17.808748,9.213573,16.6203,30.453249
34.762863,29.189957,20.141748,15.35639,27.625032,16.373028,29.960052,26.018572,39.340919,43.815063,24.72316,15.073115,43.814125,24.080952,24.236471,20.770887,34.196716,13.922608,30.462103,23.253021,62.12698,43.238602,35.084938,44.439812,43.01202,60.477665,29.412434,25.181181,17.95747,9.273988,16.781769,32.781708
35.282734,29.104504,20.617249,15.38909,28.856237,16.487747,31.956446,26.205215,41.335228,44.442951,24.904764,14.969737,44.113773,25.572006,24.649933,21.040115,34.913296,14.083171,31.094763,23.299343,62.233547,44.592312,35.988243,45.635693,43.544079,62.023701,30.166914,26.070202,18.093838,9.302208,16.917276,35.099812
35.78373,29.017588,21.106594,15.453848,30.191837,16.61063,33.909512,26.446108,43.405228,44.993576,25.063887,15.131135,44.430084,27.175692,25.106197,21.409634,35.561382,14.278331,31.723103,23.383039,62.282539,45.9179,36.911427,46.82605,43.98547,63.536133,30.990681,27.076828,18.272455,9.298034,17.044779,37.378551
36.270958,28.94149,21.509342,15.551743,31.665169,16.736368,35.8363,26.731087,45.511265,45.480061,25.227417,15.749253,44.754337,28.860352,25.60391,21.898306,36.143745,14.504729,32.323483,23.46825,62.290939,47.276573,37.877556,47.998894,44.325134,65.017624,31.879831,28.215677,18.555912,9.263221,17.193457,39.604843
36.74601,28.8955,21.756168,15.682689,33.306557,16.853752,37.759983,27.046824,47.580544,45.91087,25.411505,16.9193,45.078918,30.596451,26.138868,22.525248,36.665417,14.755985,32.890881,23.530287,62.257561,48.708813,38.883923,49.080097,44.564732,66.518692,32.8699,29.481291,18.982368,9.205379,17.3657,41.768475
37.205853,28.896544,21.832779,15.842237,35.105206,16.962965,39.692383,27.385803,49.550163,46.283836,25.607691,18.557272,45.392887,32.363403,26.709373,23.300621,37.136417,15.029284,33.443928,23.576733,62.177258,50.24445,39.900078,49.982864,44.712353,68.104073,33.995358,30.855639,19.530376,9.136744,17.532402,43.856834
37.64209,28.95442,21.765354,16.025618,37.00341,17.077721,41.625702,27.729746,51.396008,46.593349,25.793861,20.451651,45.684952,34.154881,27.317692,24.212833,37.56879,15.323235,34.024101,23.638714,62.053543,51.890354,40.901752,50.666534,44.778591,69.785172,35.25248,32.32798,20.139969,9.068124,17.659292,45.859325
38.045387,29.072182,21.613913,16.240145,38.923668,17.210222,43.548824,28.03969,53.121876,46.842079,25.960361,22.387072,45.947235,35.97554,27.966866,25.235861,37.978699,15.643352,34.685051,23.73851,61.896637,53.59634,41.897728,51.118874,44.781582,71.5159,36.60952,33.906357,20.773415,9.005868,17.73666,47.774227
38.408817,29.251423,21.45978,16.501371,40.836952,17.354889,45.464947,28.27836,54.753948,47.040863,26.111803,24.238266,46.185513,37.848312,28.654411,26.35043,38.387337,16.003813,35.454544,23.863482,61.721424,55.282696,42.916672,51.342781,44.753654,73.201683,38.0448,35.59066,21.431833,8.955759,17.787081,49.610989
38.730835,29.498343,21.374294,16.821238,42.762047,17.501472,47.383884,28.431166,56.344429,47.211525,26.256266,25.986412,46.42683,39.805523,29.371546,27.549809,38.814007,16.420925,36.299522,23.974033,61.544662,56.894634,43.984753,51.348671,44.730423,74.733109,39.563,37.357372,22.137867,8.926774,17.844923,51.38274
39.01347,29.823793,21.400471,17.192726,44.695988,17.645311,49.313202,28.501028,57.939964,47.381069,26.402021,27.684492,46.707161,41.859829,30.110588,28.837399,39.25967,16.914747,37.154221,24.034962,61.376705,58.423824,45.112202,51.139992,44.726414,76.055199,41.173618,39.177132,22.923817,8.926351,17.931353,53.099499
39.254791,30.240255,21.519453,17.594915,46.586475,17.787882,51.268826,28.513739,59.530727,47.557251,26.558004,29.411139,47.046761,43.990242,30.865459,30.217314,39.696163,17.520901,37.975266,24.04125,61.212498,59.883698,46.304802,50.710342,44.72821,77.13707,42.851425,41.02668,23.833675,8.954228,18.056288,54.754013
39.452667,30.748184,21.529194,18.007189,48.369904,17.939117,53.281364,28.52124,61.050182,47.708275,26.728207,31.239697,47.426762,46.152485,31.629454,31.677639,40.095963,18.281878,38.757282,24.017876,61.032501,61.275795,47.576618,50.055275,44.714764,77.918953,44.527775,42.894451,24.915758,9.002484,18.234186,56.302639
39.610786,31.318464,21.234518,18.403946,50.003128,18.119326,55.379505,28.551367,62.430523,47.778736,26.909983,33.224461,47.791,48.305168,32.401234,33.180649,40.462372,19.223766,39.536148,23.997118,60.827477,62.576313,48.930607,49.174747,44.675365,78.335342,46.133274,44.785133,26.192743,9.056705,18.487112,57.720387
39.735615,31.911711,21.192909,18.741203,51.45834,18.352551,57.576767,28.585337,63.631672,47.739758,27.100733,35.381168,48.094212,50.423759,33.181374,34.67189,40.809753,20.352655,40.366249,23.996775,60.614819,63.74432,50.332428,48.076237,44.610027,78.355675,47.637634,46.712765,27.650757,9.098163,18.841635,59.033901
39.837543,32.510326,21.419937,18.961609,52.736347,18.655216,59.881641,28.613327,64.627632,47.605904,27.299242,37.670383,48.344566,52.489155,33.964909,36.09911,41.138763,21.658104,41.289368,24.015398,60.42564,64.740417,51.725578,46.815407,44.521843,77.993431,49.042873,48.694672,29.261847,9.111961,19.325447,60.269115
39.930473,33.114731,21.808071,19.029741,53.928196,19.026817,62.299423,28.668695,65.391396,47.407955,27.501688,40.011063,48.587952,54.476021,34.747791,37.43504,41.446243,23.120941,42.309811,24.041342,60.29454,65.534981,53.061996,45.494457,44.417561,77.288185,50.360455,50.742519,31.005051,9.095426,19.958591,61.442104
40.026485,33.720955,22.080244,18.963755,55.192257,19.449434,64.824448,28.788628,65.896286,47.166622,27.700222,42.321907,48.8717,56.358925,35.529984,38.699898,41.772549,24.72983,43.383972,24.065369,60.23394,66.112038,54.322994,44.173653,44.313454,76.288338,51.610565,52.847649,32.862156,9.057484,20.743786,62.57299
40.133881,34.309628,22.131481,18.818283,56.583916,19.901192,67.429115,28.981573,66.127518,46.888004,27.885948,44.552708,49.231339,58.120449,36.312126,39.957108,42.211227,26.4888,44.46228,24.093002,60.204433,66.476746,55.524269,42.847893,44.228558,75.055634,52.821358,54.976517,34.816765,9.01099,21.661926,63.68248
40.248871,34.856739,22.047216,18.645031,57.983009,20.369608,70.037933,29.234472,66.109138,46.571815,28.05418,46.686138,49.687286,59.743114,37.099033,41.263256,42.834644,28.414946,45.543346,24.144579,60.146011,66.664879,56.681087,41.488079,44.172863,73.646431,54.014328,57.068268,36.881195,8.968823,22.670689,64.778687
40.355675,35.352867,22.110689,18.48143,59.207027,20.851326,72.533958,29.525513,65.899406,46.217079,28.208532,48.722427,50.241451,61.200001,37.900879,42.627987,43.640594,30.531942,46.683178,24.239786,60.047745,66.734642,57.784882,40.076839,44.144722,72.061378,55.192955,59.054058,39.092819,8.944652,23.71452,65.85437
40.450184,35.807476,22.372282,18.348352,60.148643,21.350693,74.8162,29.837757,65.551178,45.822132,28.363827,50.662521,50.882996,62.464405,38.722282,44.00153,44.588585,32.848255,47.928921,24.387316,59.955315,66.740593,58.826794,38.630249,44.132713,70.207932,56.346436,60.91399,41.471817,8.949979,24.748747,66.906075
40.567226,36.234207,22.792654,18.244408,60.82291,21.880777,76.835159,30.154394,65.090439,45.385578,28.54771,52.491596,51.602272,63.517715,39.551685,45.288857,45.64637,35.322578,49.247131,24.583317,59.901642,66.718491,59.822598,37.196774,44.118591,67.878387,57.456631,62.6693,43.997639,8.987326,25.758011,67.948158
40.781567,36.648632,23.379829,18.152058,61.334263,22.455196,78.593674,30.447401,64.535919,44.908108,28.788874,54.174099,52.396477,64.347145,40.365654,46.411388,46.801506,37.844261,50.568523,24.81385,59.842587,66.685928,60.794758,35.846069,44.087284,64.746758,58.50317,64.331215,46.609692,9.047894,26.748751,68.99276
41.182674,37.069675,24.129333,18.055079,61.726704,23.076355,80.129829,30.696489,63.904259,44.389534,29.094381,55.666,53.260212,64.944183,41.148876,47.353321,48.059311,40.273731,51.852276,25.062168,59.707813,66.646469,61.749813,34.650345,44.037189,60.418522,59.475605,65.897842,49.220589,9.114049,27.729666,70.012032
